Case_no,Joint,Composition_Method,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,C,Mn,S
1,JT-10,LIBS_XRF,4.5,0.156,55204.17797531491,60081.59735682007,0.14211571440549406,1.013618455762048,0.002479182792326797
2,JT-10,LIBS_XRF,4.5,0.156,48317.87946088734,72139.3193886064,0.14368675334729156,0.9940704110930909,0.0071601030071466515
3,JT-10,LIBS_XRF,4.5,0.156,39503.70687839695,68546.37267697761,0.12212120630230797,1.0369496569062568,0.004704447001597688
4,JT-10,LIBS_XRF,4.5,0.156,49509.204696163084,60958.400010290956,0.14445462816664484,0.9974039886043026,0.009896829693089634
5,JT-10,LIBS_XRF,4.5,0.156,55510.57626880363,65333.492192715945,0.11330753405045714,0.9843056791815468,0.014188573622259473
6,JT-10,LIBS_XRF,4.5,0.156,44987.851357251944,71150.76455002316,0.09998674020843655,1.0246020309208768,0.003644602433932005
7,JT-10,LIBS_XRF,4.5,0.156,50521.115704962926,66450.05079574637,0.11127046479730077,0.9914804831256735,0.005760777108410463
8,JT-10,LIBS_XRF,4.5,0.156,47829.74155371682,65027.40715499621,0.13488875639080808,1.0509048831554173,0.001149165530384965
9,JT-10,LIBS_XRF,4.5,0.156,41584.6488237535,71827.31444180846,0.14688857127728125,1.0232559967993888,0.008326405338161407
10,JT-10,LIBS_XRF,4.5,0.156,48828.66873537722,67899.02754621903,0.09342401995153435,1.058237387342842,0.005832716270103145
11,JT-10,LIBS_XRF,4.5,0.156,43615.54103535984,68812.55460973979,0.10174124648376172,1.000437578746503,0.008646373437983707
12,JT-10,LIBS_XRF,4.5,0.156,50841.38294753694,63410.806739860476,0.10712208826970122,1.013772274918021,0.0018251696935049477
13,JT-10,LIBS_XRF,4.5,0.156,48180.77883558262,68324.73812042223,0.16258490441205964,1.0342064385034366,0.013294513434787112
14,JT-10,LIBS_XRF,4.5,0.156,36945.67070556719,66460.59583779254,0.10633660000616077,1.0273355098105421,0.005435963295467064
15,JT-10,LIBS_XRF,4.5,0.156,46371.41174896094,72075.21506102972,0.0838374675535594,1.0349632611579827,3.52870608622052e-4
16,JT-10,LIBS_XRF,4.5,0.156,47040.09963893674,61094.16747021899,0.08441700480034904,1.0164545056376926,0.013868734676035584
17,JT-10,LIBS_XRF,4.5,0.156,47609.15489436632,71809.5800144966,0.1548651641770915,1.0003370529615567,0.006357731977765687
18,JT-10,LIBS_XRF,4.5,0.156,46974.74517533538,62238.94079895773,0.11302654515161734,1.0314471747016816,0.01237507807003805
19,JT-10,LIBS_XRF,4.5,0.156,45044.830563188894,68918.87386884484,0.11158233114996545,1.0155924082950334,8.762961243476031e-4
20,JT-10,LIBS_XRF,4.5,0.156,53522.27181885286,65796.90415885244,0.06985251099548712,1.0466996464718483,0.005929567942066216
21,JT-10,LIBS_XRF,4.5,0.156,48392.98722039745,71180.23143841139,0.08632782712509597,1.0115435937346693,0.0015332072289627684
22,JT-10,LIBS_XRF,4.5,0.156,40476.071847311716,60979.695212947074,0.13771590525793698,1.0161107095160373,0.003192740004942302
23,JT-10,LIBS_XRF,4.5,0.156,41456.26714459816,67548.8133035395,0.07809809366220238,1.0218358101049287,0.012037436548736258
24,JT-10,LIBS_XRF,4.5,0.156,55567.1215527853,71408.1391181915,0.11220247676878156,0.9893510779720693,6.231733392975344e-4
25,JT-10,LIBS_XRF,4.5,0.156,53124.28193702136,69985.68687598834,0.1252397109963067,0.9959145101514716,2.0980063355122342e-4
26,JT-10,LIBS_XRF,4.5,0.156,56239.39100348401,68925.6402431114,0.09077912617634352,1.0124111119957002,0.0031048799383016747
27,JT-10,LIBS_XRF,4.5,0.156,48406.54534813242,71362.68304181939,0.12067584810329254,1.018166119157475,0.01760534819009968
28,JT-10,LIBS_XRF,4.5,0.156,48253.97188120264,70370.33256070537,0.07749043750012038,1.0118945483563753,0.0036039226555053937
29,JT-10,LIBS_XRF,4.5,0.156,44170.64978991187,62707.5131319083,0.12718287489202307,0.9862682113213432,0.011235249146497856
30,JT-10,LIBS_XRF,4.5,0.156,40113.33792994886,67600.41293491004,0.054222441292696946,1.0006894103952477,0.01223828318682062
31,JT-10,LIBS_XRF,4.5,0.156,54180.869556028905,70961.96844645172,0.09770860477027746,0.9910631217286564,0.003860807267404053
32,JT-10,LIBS_XRF,4.5,0.156,38319.71315132585,70744.7680822827,0.1288064266842923,1.0156106403565903,0.008952594303594519
33,JT-10,LIBS_XRF,4.5,0.156,46214.107272753674,71035.45544929689,0.14834925130316004,1.0295850498769799,0.008346147406901778
34,JT-10,LIBS_XRF,4.5,0.156,45615.146723904516,64945.880895009665,0.1389603313426097,0.9873815405853907,0.02439027796108726
35,JT-10,LIBS_XRF,4.5,0.156,38614.59062271888,64904.87357989972,0.07655266922483471,1.046701996551077,0.003839883666874309
36,JT-10,LIBS_XRF,4.5,0.156,59678.89553827344,65606.75439387895,0.13547451623216608,0.9904290272540834,0.013589620207983598
37,JT-10,LIBS_XRF,4.5,0.156,42566.08916940897,60608.09618456082,0.06947842277906698,1.0186097213121506,0.0016576648164499917
38,JT-10,LIBS_XRF,4.5,0.156,42698.35808757118,68890.58548932764,0.12718783307033682,1.040198045749704,0.004580305566926257
39,JT-10,LIBS_XRF,4.5,0.156,42826.972407693596,62060.053236284024,0.17268256141172222,1.0113879111632378,0.006855202435193788
40,JT-10,LIBS_XRF,4.5,0.156,42304.75589114014,63803.33475010613,0.14639971693222278,1.022513079892653,0.005159439753468498
41,JT-10,LIBS_XRF,4.5,0.156,36821.83607461848,74180.23221397806,0.0917889632087524,1.0494653974133052,0.009638828669564382
42,JT-10,LIBS_XRF,4.5,0.156,40925.70010165019,71112.00183844611,0.07817870815176442,1.035898720034182,0.0067443148159378845
